M,N,K,libtype,solidx,soltimems,indtype,outdtype
57344,5491,8192,hipblaslt,77880,4.895780462967722,torch.float8_e4m3fnuz,torch.float16
57344,4234,8192,hipblaslt,77880,3.7316055297851562,torch.float8_e4m3fnuz,torch.float16
8192,3341,8192,hipblaslt,77973,0.4175685405731201,torch.float8_e4m3fnuz,torch.float16
8192,2327,28672,hipblaslt,77418,1.1785258293151855,torch.float8_e4m3fnuz,torch.float16
57344,7040,8192,hipblaslt,77913,6.3459523518880205,torch.float8_e4m3fnuz,torch.float16
8192,1967,8192,hipblaslt,77925,0.2589456081390381,torch.float8_e4m3fnuz,torch.float16
8192,56,28672,hipblaslt,76834,0.08641800284385681,torch.float8_e4m3fnuz,torch.float16
57344,4886,8192,hipblaslt,77880,4.373210144042969,torch.float8_e4m3fnuz,torch.float16
8192,2385,8192,hipblaslt,77722,0.31949124336242674,torch.float8_e4m3fnuz,torch.float16
10240,1938,8192,hipblaslt,77396,0.3292897939682007,torch.float8_e4m3fnuz,torch.float16
8192,1578,28672,hipblaslt,78016,0.7357283115386963,torch.float8_e4m3fnuz,torch.float16
57344,4653,8192,hipblaslt,77925,4.203554916381836,torch.float8_e4m3fnuz,torch.float16
10240,2564,8192,hipblaslt,77973,0.41574583053588865,torch.float8_e4m3fnuz,torch.float16
8192,3174,8192,hipblaslt,77973,0.4072573184967041,torch.float8_e4m3fnuz,torch.float16
10240,3836,8192,hipblaslt,77984,0.6085294723510742,torch.float8_e4m3fnuz,torch.float16
10240,104,8192,hipblaslt,76641,0.055008500814437866,torch.float8_e4m3fnuz,torch.float16
8192,555,28672,hipblaslt,76918,0.34340364933013917,torch.float8_e4m3fnuz,torch.float16
57344,1084,8192,hipblaslt,77895,1.0018099784851073,torch.float8_e4m3fnuz,torch.float16
10240,3946,8192,hipblaslt,78018,0.6260473728179932,torch.float8_e4m3fnuz,torch.float16
8192,1003,8192,hipblaslt,77871,0.15067520141601562,torch.float8_e4m3fnuz,torch.float16
8192,1779,8192,hipblaslt,77926,0.24206459522247314,torch.float8_e4m3fnuz,torch.float16
57344,2643,8192,hipblaslt,77925,2.39412841796875,torch.float8_e4m3fnuz,torch.float16
8192,3046,28672,hipblaslt,77895,1.3657811164855957,torch.float8_e4m3fnuz,torch.float16
57344,1823,8192,hipblaslt,77952,1.715773582458496,torch.float8_e4m3fnuz,torch.float16
8192,2369,8192,hipblaslt,77957,0.3183716058731079,torch.float8_e4m3fnuz,torch.float16
57344,724,8192,hipblaslt,77913,0.6954681873321533,torch.float8_e4m3fnuz,torch.float16
57344,1041,8192,hipblaslt,77895,0.9924562454223633,torch.float8_e4m3fnuz,torch.float16
57344,2464,8192,hipblaslt,77935,2.2081329345703127,torch.float8_e4m3fnuz,torch.float16
8192,4326,28672,hipblaslt,77696,1.9662466049194336,torch.float8_e4m3fnuz,torch.float16
10240,628,28672,hipblaslt,77419,0.4397498607635498,torch.float8_e4m3fnuz,torch.float16
8192,159,28672,hipblaslt,76888,0.12494704723358155,torch.float8_e4m3fnuz,torch.float16
57344,5164,8192,hipblaslt,77903,4.638517379760742,torch.float8_e4m3fnuz,torch.float16
8192,3325,28672,hipblaslt,77935,1.5081339836120606,torch.float8_e4m3fnuz,torch.float16
10240,3262,8192,hipblaslt,77924,0.49521560668945314,torch.float8_e4m3fnuz,torch.float16
8192,733,28672,hipblaslt,77846,0.41814346313476564,torch.float8_e4m3fnuz,torch.float16
8192,2506,8192,hipblaslt,77829,0.3333878517150879,torch.float8_e4m3fnuz,torch.float16
10240,3285,8192,hipblaslt,77897,0.5037001609802246,torch.float8_e4m3fnuz,torch.float16
10240,3552,8192,hipblaslt,77675,0.5768225193023682,torch.float8_e4m3fnuz,torch.float16
8192,2611,8192,hipblaslt,77960,0.3522838592529297,torch.float8_e4m3fnuz,torch.float16
10240,1885,8192,hipblaslt,77882,0.31853585243225097,torch.float8_e4m3fnuz,torch.float16
8192,4620,8192,hipblaslt,77928,0.5829875946044922,torch.float8_e4m3fnuz,torch.float16
8192,4505,28672,hipblaslt,77895,2.0542951583862306,torch.float8_e4m3fnuz,torch.float16
8192,1488,8192,hipblaslt,77720,0.2038639545440674,torch.float8_e4m3fnuz,torch.float16
8192,2706,8192,hipblaslt,77960,0.3579401969909668,torch.float8_e4m3fnuz,torch.float16
8192,5022,28672,hipblaslt,77935,2.2498428344726564,torch.float8_e4m3fnuz,torch.float16
8192,6138,28672,hipblaslt,77924,2.670603942871094,torch.float8_e4m3fnuz,torch.float16
57344,497,8192,hipblaslt,77939,0.4886338710784912,torch.float8_e4m3fnuz,torch.float16
8192,2558,28672,hipblaslt,77396,1.2198389053344727,torch.float8_e4m3fnuz,torch.float16
8192,112,28672,hipblaslt,77048,0.10901800394058228,torch.float8_e4m3fnuz,torch.float16
8192,1549,28672,hipblaslt,77895,0.6919590473175049,torch.float8_e4m3fnuz,torch.float16
10240,1765,8192,hipblaslt,77830,0.2972583532333374,torch.float8_e4m3fnuz,torch.float16
10240,5062,8192,hipblaslt,77890,0.7944367885589599,torch.float8_e4m3fnuz,torch.float16
8192,5166,28672,hipblaslt,77903,2.2851690292358398,torch.float8_e4m3fnuz,torch.float16
8192,2224,8192,hipblaslt,77828,0.30413050651550294,torch.float8_e4m3fnuz,torch.float16
10240,5893,8192,hipblaslt,77922,0.9045079231262207,torch.float8_e4m3fnuz,torch.float16
57344,1280,8192,hipblaslt,77939,1.1247281074523925,torch.float8_e4m3fnuz,torch.float16
8192,1900,8192,hipblaslt,77925,0.2584508419036865,torch.float8_e4m3fnuz,torch.float16
10240,3240,8192,hipblaslt,77921,0.49474492073059084,torch.float8_e4m3fnuz,torch.float16
10240,55,28672,hipblaslt,76802,0.10087494850158692,torch.float8_e4m3fnuz,torch.float16
57344,4032,8192,hipblaslt,78012,3.5193233489990234,torch.float8_e4m3fnuz,torch.float16
57344,583,8192,hipblaslt,77961,0.6105303764343262,torch.float8_e4m3fnuz,torch.float16
10240,1431,8192,hipblaslt,77900,0.25151255130767824,torch.float8_e4m3fnuz,torch.float16
8192,4435,8192,hipblaslt,77723,0.5542049407958984,torch.float8_e4m3fnuz,torch.float16
10240,3524,8192,hipblaslt,77696,0.5745170593261719,torch.float8_e4m3fnuz,torch.float16
8192,454,28672,hipblaslt,77188,0.29375314712524414,torch.float8_e4m3fnuz,torch.float16
10240,1228,8192,hipblaslt,77890,0.20928804874420165,torch.float8_e4m3fnuz,torch.float16
8192,6346,8192,hipblaslt,77888,0.803101634979248,torch.float8_e4m3fnuz,torch.float16
10240,1065,8192,hipblaslt,77976,0.1909388542175293,torch.float8_e4m3fnuz,torch.float16
8192,3682,8192,hipblaslt,77923,0.46502485275268557,torch.float8_e4m3fnuz,torch.float16
10240,6349,8192,hipblaslt,77981,0.9529115676879882,torch.float8_e4m3fnuz,torch.float16
57344,1315,8192,hipblaslt,77895,1.209373378753662,torch.float8_e4m3fnuz,torch.float16
10240,5162,8192,hipblaslt,78016,0.8035863876342774,torch.float8_e4m3fnuz,torch.float16
10240,65113,8192,hipblaslt,77926,9.571891021728515,torch.float8_e4m3fnuz,torch.float16
8192,5044,8192,hipblaslt,77984,0.6143801212310791,torch.float8_e4m3fnuz,torch.float16
8192,2790,28672,hipblaslt,77895,1.3183327674865724,torch.float8_e4m3fnuz,torch.float16
57344,1431,8192,hipblaslt,77950,1.3085503578186035,torch.float8_e4m3fnuz,torch.float16
57344,2592,8192,hipblaslt,77925,2.3670843124389647,torch.float8_e4m3fnuz,torch.float16
57344,4709,8192,hipblaslt,77880,4.306991958618164,torch.float8_e4m3fnuz,torch.float16
10240,64,8192,hipblaslt,42500,0.04003329873085022,torch.float8_e4m3fnuz,torch.float16
8192,5253,28672,hipblaslt,77719,2.272542381286621,torch.float8_e4m3fnuz,torch.float16
10240,3630,8192,hipblaslt,77877,0.5900761127471924,torch.float8_e4m3fnuz,torch.float16
10240,2675,8192,hipblaslt,77973,0.41288161277770996,torch.float8_e4m3fnuz,torch.float16
57344,4481,8192,hipblaslt,78017,3.9886425018310545,torch.float8_e4m3fnuz,torch.float16
8192,2858,28672,hipblaslt,77917,1.3260723114013673,torch.float8_e4m3fnuz,torch.float16
8192,1537,8192,hipblaslt,77942,0.20741724967956543,torch.float8_e4m3fnuz,torch.float16
10240,7010,8192,hipblaslt,77890,1.0503499031066894,torch.float8_e4m3fnuz,torch.float16
8192,2835,8192,hipblaslt,77916,0.366530442237854,torch.float8_e4m3fnuz,torch.float16
8192,1919,8192,hipblaslt,77880,0.25891153812408446,torch.float8_e4m3fnuz,torch.float16
10240,905,8192,hipblaslt,77689,0.17404780387878419,torch.float8_e4m3fnuz,torch.float16
8192,5589,28672,hipblaslt,77755,2.572224235534668,torch.float8_e4m3fnuz,torch.float16
8192,576,8192,hipblaslt,77599,0.10603710412979125,torch.float8_e4m3fnuz,torch.float16
8192,192,8192,hipblaslt,42504,0.05440210103988648,torch.float8_e4m3fnuz,torch.float16
8192,512,8192,hipblaslt,77592,0.09206839799880981,torch.float8_e4m3fnuz,torch.float16
8192,723,8192,hipblaslt,77867,0.11943939924240113,torch.float8_e4m3fnuz,torch.float16
8192,3287,8192,hipblaslt,77901,0.41541333198547364,torch.float8_e4m3fnuz,torch.float16
8192,4804,8192,hipblaslt,77984,0.6090261459350585,torch.float8_e4m3fnuz,torch.float16
57344,1283,8192,hipblaslt,77928,1.2180402755737305,torch.float8_e4m3fnuz,torch.float16
10240,1893,8192,hipblaslt,77912,0.31499059200286866,torch.float8_e4m3fnuz,torch.float16
10240,2527,8192,hipblaslt,77973,0.40994725227355955,torch.float8_e4m3fnuz,torch.float16
57344,1713,8192,hipblaslt,77952,1.5402376174926757,torch.float8_e4m3fnuz,torch.float16
8192,8199,28672,hipblaslt,77924,3.541878890991211,torch.float8_e4m3fnuz,torch.float16
8192,3128,28672,hipblaslt,77895,1.3786982536315917,torch.float8_e4m3fnuz,torch.float16
57344,4391,8192,hipblaslt,77935,3.87634391784668,torch.float8_e4m3fnuz,torch.float16
57344,2647,8192,hipblaslt,77923,2.4244251251220703,torch.float8_e4m3fnuz,torch.float16
8192,2804,8192,hipblaslt,77495,0.36198625564575193,torch.float8_e4m3fnuz,torch.float16
10240,2703,8192,hipblaslt,77720,0.4286349296569824,torch.float8_e4m3fnuz,torch.float16
8192,2730,8192,hipblaslt,77916,0.36334819793701173,torch.float8_e4m3fnuz,torch.float16
10240,5407,8192,hipblaslt,77877,0.8336689949035645,torch.float8_e4m3fnuz,torch.float16
8192,1985,28672,hipblaslt,77923,0.8842098236083984,torch.float8_e4m3fnuz,torch.float16
8192,1697,28672,hipblaslt,77942,0.7584434986114502,torch.float8_e4m3fnuz,torch.float16
8192,1849,8192,hipblaslt,77926,0.25099780559539797,torch.float8_e4m3fnuz,torch.float16
8192,781,8192,hipblaslt,77869,0.12840420007705688,torch.float8_e4m3fnuz,torch.float16
8192,1810,28672,hipblaslt,77923,0.8552087783813477,torch.float8_e4m3fnuz,torch.float16
8192,8131,28672,hipblaslt,77924,3.5385074615478516,torch.float8_e4m3fnuz,torch.float16
10240,2343,8192,hipblaslt,77960,0.38139095306396487,torch.float8_e4m3fnuz,torch.float16
8192,1504,28672,hipblaslt,77961,0.6826892375946045,torch.float8_e4m3fnuz,torch.float16
8192,2240,28672,hipblaslt,77927,1.078303337097168,torch.float8_e4m3fnuz,torch.float16
10240,2156,8192,hipblaslt,77960,0.36121311187744143,torch.float8_e4m3fnuz,torch.float16
10240,1407,8192,hipblaslt,42415,0.2549832582473755,torch.float8_e4m3fnuz,torch.float16
8192,5820,8192,hipblaslt,77925,0.711453914642334,torch.float8_e4m3fnuz,torch.float16
10240,6064,8192,hipblaslt,77924,0.9133810043334961,torch.float8_e4m3fnuz,torch.float16
8192,4664,8192,hipblaslt,77917,0.5861482620239258,torch.float8_e4m3fnuz,torch.float16
8192,881,28672,hipblaslt,77869,0.4697858810424805,torch.float8_e4m3fnuz,torch.float16
10240,2009,8192,hipblaslt,77829,0.3397132396697998,torch.float8_e4m3fnuz,torch.float16
8192,4639,8192,hipblaslt,77917,0.597196626663208,torch.float8_e4m3fnuz,torch.float16
57344,3790,8192,hipblaslt,77880,3.363384246826172,torch.float8_e4m3fnuz,torch.float16
57344,5010,8192,hipblaslt,77925,4.508949279785156,torch.float8_e4m3fnuz,torch.float16
57344,2945,8192,hipblaslt,78017,2.6902931213378904,torch.float8_e4m3fnuz,torch.float16
8192,2348,8192,hipblaslt,77836,0.31833155155181886,torch.float8_e4m3fnuz,torch.float16
8192,977,28672,hipblaslt,42477,0.5156318187713623,torch.float8_e4m3fnuz,torch.float16
8192,5426,28672,hipblaslt,77829,2.536050796508789,torch.float8_e4m3fnuz,torch.float16
10240,1901,8192,hipblaslt,77993,0.3196174383163452,torch.float8_e4m3fnuz,torch.float16
8192,22341,8192,hipblaslt,77922,2.6327280044555663,torch.float8_e4m3fnuz,torch.float16
8192,651,8192,hipblaslt,77866,0.11715755462646485,torch.float8_e4m3fnuz,torch.float16
8192,1865,8192,hipblaslt,77926,0.2580422401428223,torch.float8_e4m3fnuz,torch.float16
10240,2057,8192,hipblaslt,77886,0.35580904483795167,torch.float8_e4m3fnuz,torch.float16
8192,1281,28672,hipblaslt,77917,0.6345835208892823,torch.float8_e4m3fnuz,torch.float16
8192,2063,28672,hipblaslt,77956,1.027808952331543,torch.float8_e4m3fnuz,torch.float16
8192,3456,8192,hipblaslt,77720,0.42353339195251466,torch.float8_e4m3fnuz,torch.float16
10240,1178,8192,hipblaslt,77945,0.20436275005340576,torch.float8_e4m3fnuz,torch.float16
10240,1453,8192,hipblaslt,77944,0.2560237407684326,torch.float8_e4m3fnuz,torch.float16
8192,4564,8192,hipblaslt,77928,0.5777839183807373,torch.float8_e4m3fnuz,torch.float16
57344,2718,8192,hipblaslt,77950,2.522818946838379,torch.float8_e4m3fnuz,torch.float16
57344,2783,8192,hipblaslt,77950,2.5327056884765624,torch.float8_e4m3fnuz,torch.float16
10240,135,28672,hipblaslt,76902,0.14518860578536988,torch.float8_e4m3fnuz,torch.float16
57344,3703,8192,hipblaslt,77880,3.3464130401611327,torch.float8_e4m3fnuz,torch.float16
57344,5201,8192,hipblaslt,77719,4.669288635253906,torch.float8_e4m3fnuz,torch.float16
57344,119,8192,hipblaslt,77985,0.1883679986000061,torch.float8_e4m3fnuz,torch.float16
57344,3084,8192,hipblaslt,77880,2.8097801208496094,torch.float8_e4m3fnuz,torch.float16
8192,31539,8192,hipblaslt,77922,3.6588718414306642,torch.float8_e4m3fnuz,torch.float16
8192,468,8192,hipblaslt,77391,0.08679804801940919,torch.float8_e4m3fnuz,torch.float16
10240,6791,8192,hipblaslt,77890,1.0312255859375,torch.float8_e4m3fnuz,torch.float16
8192,432,8192,hipblaslt,76973,0.0891755998134613,torch.float8_e4m3fnuz,torch.float16
8192,3009,28672,hipblaslt,77895,1.3681446075439454,torch.float8_e4m3fnuz,torch.float16
8192,110,8192,hipblaslt,77301,0.04349195063114166,torch.float8_e4m3fnuz,torch.float16
10240,3206,8192,hipblaslt,77921,0.49491310119628906,torch.float8_e4m3fnuz,torch.float16
57344,3540,8192,hipblaslt,77925,3.162148284912109,torch.float8_e4m3fnuz,torch.float16
8192,5768,28672,hipblaslt,77925,2.664310646057129,torch.float8_e4m3fnuz,torch.float16
57344,2645,8192,hipblaslt,77925,2.3903568267822264,torch.float8_e4m3fnuz,torch.float16
8192,1251,8192,hipblaslt,77941,0.18466955423355103,torch.float8_e4m3fnuz,torch.float16
8192,3347,28672,hipblaslt,77903,1.5138364791870118,torch.float8_e4m3fnuz,torch.float16
10240,65446,8192,hipblaslt,77923,9.586949920654297,torch.float8_e4m3fnuz,torch.float16
57344,245,8192,hipblaslt,78012,0.2667330980300903,torch.float8_e4m3fnuz,torch.float16
10240,50038,8192,hipblaslt,77922,7.337749774639423,torch.float8_e4m3fnuz,torch.float16
8192,7442,8192,hipblaslt,77960,0.9071858406066895,torch.float8_e4m3fnuz,torch.float16
57344,2004,8192,hipblaslt,77880,1.8223333358764648,torch.float8_e4m3fnuz,torch.float16
8192,3030,28672,hipblaslt,77895,1.3736968994140626,torch.float8_e4m3fnuz,torch.float16
10240,947,8192,hipblaslt,77448,0.17842634916305541,torch.float8_e4m3fnuz,torch.float16
8192,1400,8192,hipblaslt,77916,0.19840190410614014,torch.float8_e4m3fnuz,torch.float16
8192,1583,28672,hipblaslt,77950,0.7336748123168946,torch.float8_e4m3fnuz,torch.float16
10240,3397,8192,hipblaslt,77886,0.5488450527191162,torch.float8_e4m3fnuz,torch.float16
8192,2143,8192,hipblaslt,77828,0.2979854106903076,torch.float8_e4m3fnuz,torch.float16
57344,2861,8192,hipblaslt,77935,2.603841209411621,torch.float8_e4m3fnuz,torch.float16
8192,1396,28672,hipblaslt,77961,0.6835640430450439,torch.float8_e4m3fnuz,torch.float16
8192,669,8192,hipblaslt,77867,0.11749005317687988,torch.float8_e4m3fnuz,torch.float16
57344,4235,8192,hipblaslt,77880,3.766896057128906,torch.float8_e4m3fnuz,torch.float16
8192,1857,28672,hipblaslt,77921,0.8787792205810547,torch.float8_e4m3fnuz,torch.float16
8192,645,28672,hipblaslt,77586,0.40508604049682617,torch.float8_e4m3fnuz,torch.float16
10240,686,8192,hipblaslt,77403,0.14395724534988402,torch.float8_e4m3fnuz,torch.float16
8192,188,8192,hipblaslt,42495,0.05717269778251648,torch.float8_e4m3fnuz,torch.float16
57344,2071,8192,hipblaslt,77952,1.91925106048584,torch.float8_e4m3fnuz,torch.float16
8192,283,28672,hipblaslt,77197,0.19448210000991822,torch.float8_e4m3fnuz,torch.float16
57344,439,8192,hipblaslt,77967,0.4452315330505371,torch.float8_e4m3fnuz,torch.float16
57344,2919,8192,hipblaslt,77920,2.676400566101074,torch.float8_e4m3fnuz,torch.float16
8192,3080,28672,hipblaslt,77928,1.4045805931091309,torch.float8_e4m3fnuz,torch.float16
10240,1501,8192,hipblaslt,77924,0.25379993915557864,torch.float8_e4m3fnuz,torch.float16
8192,6082,28672,hipblaslt,77924,2.662744331359863,torch.float8_e4m3fnuz,torch.float16
10240,1282,8192,hipblaslt,78018,0.21151134967803956,torch.float8_e4m3fnuz,torch.float16
8192,3726,28672,hipblaslt,77924,1.7583868026733398,torch.float8_e4m3fnuz,torch.float16
57344,6671,8192,hipblaslt,77880,5.8943328857421875,torch.float8_e4m3fnuz,torch.float16
8192,5482,8192,hipblaslt,77925,0.6894477844238281,torch.float8_e4m3fnuz,torch.float16
10240,475,8192,hipblaslt,77599,0.10993485450744629,torch.float8_e4m3fnuz,torch.float16
10240,6532,8192,hipblaslt,77981,0.9824733734130859,torch.float8_e4m3fnuz,torch.float16
10240,3715,8192,hipblaslt,77890,0.6095269203186036,torch.float8_e4m3fnuz,torch.float16
10240,4627,8192,hipblaslt,77922,0.7163772106170654,torch.float8_e4m3fnuz,torch.float16
57344,2508,8192,hipblaslt,77950,2.2873863220214843,torch.float8_e4m3fnuz,torch.float16
8192,6396,28672,hipblaslt,77935,2.9795095443725588,torch.float8_e4m3fnuz,torch.float16
10240,2133,8192,hipblaslt,77960,0.3603182554244995,torch.float8_e4m3fnuz,torch.float16
8192,251,28672,hipblaslt,76641,0.18044129610061646,torch.float8_e4m3fnuz,torch.float16
8192,5012,28672,hipblaslt,77903,2.2548681259155274,torch.float8_e4m3fnuz,torch.float16
57344,928,8192,hipblaslt,77952,0.8898921966552734,torch.float8_e4m3fnuz,torch.float16
10240,3912,8192,hipblaslt,77935,0.6205672264099121,torch.float8_e4m3fnuz,torch.float16
10240,1275,8192,hipblaslt,77890,0.20803215503692626,torch.float8_e4m3fnuz,torch.float16
8192,1918,8192,hipblaslt,77925,0.25372583866119386,torch.float8_e4m3fnuz,torch.float16
8192,3892,8192,hipblaslt,77922,0.47893342971801756,torch.float8_e4m3fnuz,torch.float16
8192,1013,8192,hipblaslt,77870,0.1533226490020752,torch.float8_e4m3fnuz,torch.float16
10240,803,8192,hipblaslt,77408,0.1567702054977417,torch.float8_e4m3fnuz,torch.float16
8192,1473,28672,hipblaslt,77961,0.6782627582550049,torch.float8_e4m3fnuz,torch.float16
8192,3017,28672,hipblaslt,77895,1.3658993721008301,torch.float8_e4m3fnuz,torch.float16
57344,2412,8192,hipblaslt,77935,2.2070913314819336,torch.float8_e4m3fnuz,torch.float16
10240,1551,8192,hipblaslt,77880,0.2602215051651001,torch.float8_e4m3fnuz,torch.float16
8192,7094,28672,hipblaslt,77888,3.106001091003418,torch.float8_e4m3fnuz,torch.float16
57344,4772,8192,hipblaslt,77935,4.328704452514648,torch.float8_e4m3fnuz,torch.float16
10240,766,8192,hipblaslt,77593,0.14668124914169312,torch.float8_e4m3fnuz,torch.float16
57344,2804,8192,hipblaslt,77950,2.533751106262207,torch.float8_e4m3fnuz,torch.float16
8192,1385,28672,hipblaslt,77961,0.6728727340698242,torch.float8_e4m3fnuz,torch.float16
8192,594,28672,hipblaslt,76890,0.3619932413101196,torch.float8_e4m3fnuz,torch.float16
8192,305,8192,hipblaslt,77374,0.06950899958610535,torch.float8_e4m3fnuz,torch.float16
10240,960,8192,hipblaslt,77689,0.17384350299835205,torch.float8_e4m3fnuz,torch.float16
8192,2300,28672,hipblaslt,77828,1.1141584396362305,torch.float8_e4m3fnuz,torch.float16
10240,3546,8192,hipblaslt,77895,0.575039291381836,torch.float8_e4m3fnuz,torch.float16
10240,98,28672,hipblaslt,77133,0.12921290397644042,torch.float8_e4m3fnuz,torch.float16
10240,2669,8192,hipblaslt,77720,0.41630067825317385,torch.float8_e4m3fnuz,torch.float16
10240,112,28672,hipblaslt,76877,0.13145769834518434,torch.float8_e4m3fnuz,torch.float16
8192,4646,8192,hipblaslt,77917,0.5817718029022216,torch.float8_e4m3fnuz,torch.float16
57344,867,8192,hipblaslt,77926,0.8126017570495605,torch.float8_e4m3fnuz,torch.float16
57344,5126,8192,hipblaslt,77925,4.532556533813477,torch.float8_e4m3fnuz,torch.float16
10240,2908,8192,hipblaslt,77922,0.46388516426086424,torch.float8_e4m3fnuz,torch.float16
8192,4000,28672,hipblaslt,77924,1.7814308166503907,torch.float8_e4m3fnuz,torch.float16
57344,2196,8192,hipblaslt,77952,2.036324310302734,torch.float8_e4m3fnuz,torch.float16
57344,2779,8192,hipblaslt,77950,2.579300880432129,torch.float8_e4m3fnuz,torch.float16
57344,4564,8192,hipblaslt,78017,4.01196517944336,torch.float8_e4m3fnuz,torch.float16
8192,3941,8192,hipblaslt,77921,0.4831977844238281,torch.float8_e4m3fnuz,torch.float16
8192,4642,8192,hipblaslt,77928,0.5872198581695557,torch.float8_e4m3fnuz,torch.float16
8192,2962,8192,hipblaslt,77976,0.3810344457626343,torch.float8_e4m3fnuz,torch.float16
8192,3576,28672,hipblaslt,77903,1.5634340286254882,torch.float8_e4m3fnuz,torch.float16
8192,163,8192,hipblaslt,77374,0.05584474802017212,torch.float8_e4m3fnuz,torch.float16
57344,1091,8192,hipblaslt,77928,1.0188551902770997,torch.float8_e4m3fnuz,torch.float16
8192,413,28672,hipblaslt,76973,0.2816211462020874,torch.float8_e4m3fnuz,torch.float16
8192,148,28672,hipblaslt,76913,0.12461860179901123,torch.float8_e4m3fnuz,torch.float16
10240,5373,8192,hipblaslt,78016,0.8221739768981934,torch.float8_e4m3fnuz,torch.float16
8192,2293,8192,hipblaslt,77828,0.30249810218811035,torch.float8_e4m3fnuz,torch.float16
57344,4527,8192,hipblaslt,78017,3.99451904296875,torch.float8_e4m3fnuz,torch.float16
8192,2916,8192,hipblaslt,77916,0.3738297462463379,torch.float8_e4m3fnuz,torch.float16
57344,3151,8192,hipblaslt,77952,2.9023874282836912,torch.float8_e4m3fnuz,torch.float16
8192,3285,8192,hipblaslt,78018,0.4190347194671631,torch.float8_e4m3fnuz,torch.float16
8192,3608,28672,hipblaslt,78018,1.5680487632751465,torch.float8_e4m3fnuz,torch.float16
10240,1436,8192,hipblaslt,77926,0.2504109382629395,torch.float8_e4m3fnuz,torch.float16
57344,3032,8192,hipblaslt,77719,2.711512565612793,torch.float8_e4m3fnuz,torch.float16
8192,3743,28672,hipblaslt,77924,1.7543317794799804,torch.float8_e4m3fnuz,torch.float16
8192,2078,28672,hipblaslt,77956,1.0318344116210938,torch.float8_e4m3fnuz,torch.float16
10240,2650,8192,hipblaslt,77496,0.41275944709777834,torch.float8_e4m3fnuz,torch.float16
10240,1793,8192,hipblaslt,77836,0.31399509906768797,torch.float8_e4m3fnuz,torch.float16
8192,2915,8192,hipblaslt,77495,0.3820178985595703,torch.float8_e4m3fnuz,torch.float16
8192,483,8192,hipblaslt,76973,0.09109495282173156,torch.float8_e4m3fnuz,torch.float16
8192,224,8192,hipblaslt,76783,0.06374639868736268,torch.float8_e4m3fnuz,torch.float16
10240,3680,8192,hipblaslt,77935,0.600851583480835,torch.float8_e4m3fnuz,torch.float16
8192,3234,28672,hipblaslt,77950,1.482091522216797,torch.float8_e4m3fnuz,torch.float16
10240,867,8192,hipblaslt,42423,0.1570436477661133,torch.float8_e4m3fnuz,torch.float16
8192,1353,8192,hipblaslt,77710,0.1909569025039673,torch.float8_e4m3fnuz,torch.float16
10240,2262,8192,hipblaslt,77424,0.3719369411468506,torch.float8_e4m3fnuz,torch.float16
8192,1238,28672,hipblaslt,77675,0.6308694362640381,torch.float8_e4m3fnuz,torch.float16
10240,5947,8192,hipblaslt,77924,0.9026069641113281,torch.float8_e4m3fnuz,torch.float16
8192,2507,8192,hipblaslt,77829,0.32855269908905027,torch.float8_e4m3fnuz,torch.float16
57344,145,28672,hipblaslt,77927,0.6905008316040039,torch.float8_e4m3fnuz,torch.float16
57344,6368,8192,hipblaslt,77776,5.832738988539752,torch.float8_e4m3fnuz,torch.float16
8192,2184,8192,hipblaslt,77927,0.30693864822387695,torch.float8_e4m3fnuz,torch.float16
8192,2997,28672,hipblaslt,77928,1.3734970092773438,torch.float8_e4m3fnuz,torch.float16
10240,1455,8192,hipblaslt,77977,0.2605008602142334,torch.float8_e4m3fnuz,torch.float16
57344,1302,8192,hipblaslt,77895,1.21287260055542,torch.float8_e4m3fnuz,torch.float16
10240,5742,8192,hipblaslt,77973,0.8551987648010254,torch.float8_e4m3fnuz,torch.float16
10240,3164,8192,hipblaslt,77921,0.4997683525085449,torch.float8_e4m3fnuz,torch.float16
8192,5933,28672,hipblaslt,77924,2.652801513671875,torch.float8_e4m3fnuz,torch.float16
8192,3076,28672,hipblaslt,77928,1.384422779083252,torch.float8_e4m3fnuz,torch.float16
57344,297,8192,hipblaslt,77927,0.3490150451660156,torch.float8_e4m3fnuz,torch.float16
8192,1562,28672,hipblaslt,77961,0.6894473075866699,torch.float8_e4m3fnuz,torch.float16
10240,1163,8192,hipblaslt,77890,0.2048274517059326,torch.float8_e4m3fnuz,torch.float16
8192,1934,8192,hipblaslt,77926,0.2562716007232666,torch.float8_e4m3fnuz,torch.float16
10240,1276,8192,hipblaslt,78018,0.20906970500946045,torch.float8_e4m3fnuz,torch.float16
8192,2304,8192,hipblaslt,77915,0.3149846076965332,torch.float8_e4m3fnuz,torch.float16
8192,2075,28672,hipblaslt,77956,1.0294469833374023,torch.float8_e4m3fnuz,torch.float16
8192,790,28672,hipblaslt,77614,0.4752339363098145,torch.float8_e4m3fnuz,torch.float16
8192,2796,8192,hipblaslt,77723,0.3677667617797852,torch.float8_e4m3fnuz,torch.float16
8192,899,8192,hipblaslt,77870,0.14455515146255493,torch.float8_e4m3fnuz,torch.float16
8192,815,28672,hipblaslt,77869,0.4589258670806885,torch.float8_e4m3fnuz,torch.float16
8192,3462,28672,hipblaslt,77942,1.535228157043457,torch.float8_e4m3fnuz,torch.float16
10240,2549,8192,hipblaslt,77984,0.41602225303649903,torch.float8_e4m3fnuz,torch.float16
