M,N,K,libtype,solidx,soltimems,indtype,outdtype
8192,954,8192,hipblaslt,77388,0.1401636481285095,torch.float8_e4m3fnuz,torch.float16
10240,1091,8192,hipblaslt,77941,0.18851925134658815,torch.float8_e4m3fnuz,torch.float16
8192,4438,28672,hipblaslt,77696,1.9875743865966797,torch.float8_e4m3fnuz,torch.float16
10240,1292,8192,hipblaslt,78018,0.20734915733337403,torch.float8_e4m3fnuz,torch.float16
10240,2001,8192,hipblaslt,77829,0.34184439182281495,torch.float8_e4m3fnuz,torch.float16
57344,4987,8192,hipblaslt,78012,4.426879501342773,torch.float8_e4m3fnuz,torch.float16
10240,541,8192,hipblaslt,77406,0.11985105276107788,torch.float8_e4m3fnuz,torch.float16
10240,2429,8192,hipblaslt,77877,0.40407257080078124,torch.float8_e4m3fnuz,torch.float16
57344,5063,8192,hipblaslt,78012,4.461102294921875,torch.float8_e4m3fnuz,torch.float16
10240,3845,8192,hipblaslt,77935,0.6189107894897461,torch.float8_e4m3fnuz,torch.float16
10240,144,8192,hipblaslt,77859,0.05840650200843811,torch.float8_e4m3fnuz,torch.float16
57344,1229,8192,hipblaslt,77939,1.1213290214538574,torch.float8_e4m3fnuz,torch.float16
57344,839,8192,hipblaslt,77926,0.8120509147644043,torch.float8_e4m3fnuz,torch.float16
8192,1794,28672,hipblaslt,77923,0.8394795417785644,torch.float8_e4m3fnuz,torch.float16
57344,1303,8192,hipblaslt,77917,1.200392246246338,torch.float8_e4m3fnuz,torch.float16
8192,774,8192,hipblaslt,77869,0.1303470492362976,torch.float8_e4m3fnuz,torch.float16
10240,3170,8192,hipblaslt,77900,0.48969740867614747,torch.float8_e4m3fnuz,torch.float16
8192,5317,8192,hipblaslt,77496,0.6401001930236816,torch.float8_e4m3fnuz,torch.float16
8192,2164,8192,hipblaslt,77828,0.29946060180664064,torch.float8_e4m3fnuz,torch.float16
8192,65463,28672,hipblaslt,77924,27.786932373046874,torch.float8_e4m3fnuz,torch.float16
57344,1391,8192,hipblaslt,77952,1.30344877243042,torch.float8_e4m3fnuz,torch.float16
8192,465,8192,hipblaslt,76973,0.08348165154457092,torch.float8_e4m3fnuz,torch.float16
57344,224,28672,hipblaslt,77961,0.8458990097045899,torch.float8_e4m3fnuz,torch.float16
57344,432,8192,hipblaslt,77917,0.44110541343688964,torch.float8_e4m3fnuz,torch.float16
8192,3899,8192,hipblaslt,77897,0.4858497142791748,torch.float8_e4m3fnuz,torch.float16
8192,2580,28672,hipblaslt,77937,1.226202392578125,torch.float8_e4m3fnuz,torch.float16
8192,3402,8192,hipblaslt,77984,0.42055301666259765,torch.float8_e4m3fnuz,torch.float16
8192,2975,8192,hipblaslt,77710,0.38058974742889407,torch.float8_e4m3fnuz,torch.float16
57344,2159,8192,hipblaslt,77935,2.0010562896728517,torch.float8_e4m3fnuz,torch.float16
8192,5918,28672,hipblaslt,77971,2.630624771118164,torch.float8_e4m3fnuz,torch.float16
8192,2406,8192,hipblaslt,77957,0.32335500717163085,torch.float8_e4m3fnuz,torch.float16
8192,4766,28672,hipblaslt,77952,2.2252883911132812,torch.float8_e4m3fnuz,torch.float16
57344,301,8192,hipblaslt,77452,0.356377911567688,torch.float8_e4m3fnuz,torch.float16
10240,5821,8192,hipblaslt,77921,0.8927563667297364,torch.float8_e4m3fnuz,torch.float16
8192,1186,28672,hipblaslt,77675,0.6187504768371582,torch.float8_e4m3fnuz,torch.float16
8192,1223,28672,hipblaslt,77675,0.6328134059906005,torch.float8_e4m3fnuz,torch.float16
10240,5337,8192,hipblaslt,77942,0.8293625831604003,torch.float8_e4m3fnuz,torch.float16
57344,2618,8192,hipblaslt,77925,2.3838611602783204,torch.float8_e4m3fnuz,torch.float16
8192,6876,8192,hipblaslt,77901,0.8343859672546386,torch.float8_e4m3fnuz,torch.float16
57344,972,8192,hipblaslt,77950,0.9127280235290527,torch.float8_e4m3fnuz,torch.float16
57344,2194,8192,hipblaslt,77952,2.0141155242919924,torch.float8_e4m3fnuz,torch.float16
8192,4105,8192,hipblaslt,77923,0.49283204078674314,torch.float8_e4m3fnuz,torch.float16
57344,1714,8192,hipblaslt,77925,1.5718263626098632,torch.float8_e4m3fnuz,torch.float16
57344,3752,8192,hipblaslt,77880,3.3476009368896484,torch.float8_e4m3fnuz,torch.float16
57344,2781,8192,hipblaslt,77880,2.573556327819824,torch.float8_e4m3fnuz,torch.float16
8192,3708,28672,hipblaslt,77924,1.7492652893066407,torch.float8_e4m3fnuz,torch.float16
8192,3350,8192,hipblaslt,77496,0.4199861526489258,torch.float8_e4m3fnuz,torch.float16
10240,6712,8192,hipblaslt,77922,0.9783251762390137,torch.float8_e4m3fnuz,torch.float16
57344,415,8192,hipblaslt,77967,0.42625741958618163,torch.float8_e4m3fnuz,torch.float16
10240,4013,8192,hipblaslt,78016,0.6305540561676025,torch.float8_e4m3fnuz,torch.float16
8192,5836,8192,hipblaslt,77897,0.7200826644897461,torch.float8_e4m3fnuz,torch.float16
10240,3118,8192,hipblaslt,77922,0.48564739227294923,torch.float8_e4m3fnuz,torch.float16
8192,3632,28672,hipblaslt,77903,1.5698433876037599,torch.float8_e4m3fnuz,torch.float16
8192,65494,8192,hipblaslt,77924,7.557582561786358,torch.float8_e4m3fnuz,torch.float16
8192,3584,28672,hipblaslt,77903,1.5631476402282716,torch.float8_e4m3fnuz,torch.float16
10240,1925,8192,hipblaslt,77829,0.32781960964202883,torch.float8_e4m3fnuz,torch.float16
10240,479,8192,hipblaslt,77392,0.10414630174636841,torch.float8_e4m3fnuz,torch.float16
10240,6110,8192,hipblaslt,77925,0.9329480171203614,torch.float8_e4m3fnuz,torch.float16
57344,97,8192,hipblaslt,77445,0.18700300455093383,torch.float8_e4m3fnuz,torch.float16
57344,2181,8192,hipblaslt,77950,1.9995460510253906,torch.float8_e4m3fnuz,torch.float16
57344,2553,8192,hipblaslt,77950,2.3040349960327147,torch.float8_e4m3fnuz,torch.float16
8192,6437,8192,hipblaslt,77984,0.805821704864502,torch.float8_e4m3fnuz,torch.float16
10240,1894,8192,hipblaslt,77836,0.3195914030075073,torch.float8_e4m3fnuz,torch.float16
57344,1611,8192,hipblaslt,77952,1.503298854827881,torch.float8_e4m3fnuz,torch.float16
10240,4431,8192,hipblaslt,77981,0.7026147842407227,torch.float8_e4m3fnuz,torch.float16
8192,6103,8192,hipblaslt,77924,0.7363226890563965,torch.float8_e4m3fnuz,torch.float16
57344,6213,8192,hipblaslt,77696,5.592741124770221,torch.float8_e4m3fnuz,torch.float16
10240,5839,8192,hipblaslt,77723,0.9029676437377929,torch.float8_e4m3fnuz,torch.float16
