NVIDIA H200 (1x H200-SXM-141GB)	H200-SXM-141GBx1_TRT_DepthPruned	NVIDIA	open	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband;  Data bandwidth for GPU-PCIe: 504GB/s; PCIe-NIC: 500GB/s	Ethernet/Infiniband on switching network	1	NVIDIA H200-SXM-141GB		PCIe Gen5 x16	18x 4th Gen NVLink, 900GB/s		141 GB	HBM3		Air-cooled	H200 TGP 700W	CUDA 12.4	Ubuntu 22.04.4	CUDA 12.4, Driver 550.54														SSD	NVMe
NVIDIA H200 (1x H200-SXM-141GB)	H200-SXM-141GBx1_TRT_Sparse	NVIDIA	open	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband;  Data bandwidth for GPU-PCIe: 504GB/s; PCIe-NIC: 500GB/s	Ethernet/Infiniband on switching network	1	NVIDIA H200-SXM-141GB		PCIe Gen5 x16	18x 4th Gen NVLink, 900GB/s		141 GB	HBM3		Air-cooled	H200 TGP 700W	CUDA 12.4	Ubuntu 22.04.4	CUDA 12.4, Driver 550.54														SSD	NVMe
NVIDIA H200 (1x H200-SXM-141GB)	H200-SXM-141GBx1_TRT_LCM	NVIDIA	open	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband;  Data bandwidth for GPU-PCIe: 504GB/s; PCIe-NIC: 500GB/s	Ethernet/Infiniband on switching network	1	NVIDIA H200-SXM-141GB		PCIe Gen5 x16	18x 4th Gen NVLink, 900GB/s		141 GB	HBM3		Air-cooled	H200 TGP 700W	CUDA 12.4	Ubuntu 22.04.4	CUDA 12.4, Driver 550.54														SSD	NVMe
NVIDIA Jetson AGX Orin Developer Kit 64G ()	Orin_TRT_DepthPruned	NVIDIA	open	edge	N/A	available	1	12-core ARM Cortex-A78AE CPU	1	12				64GB 256-bit LPDDR5	64 GB	64 GB eMMC, 5TB CIFS	eMMC 5.1, CIFS mounted disk storage	Gig Ethernet	USB forwarded	1	NVIDIA Jetson AGX Orin 64G		N/A	N/A		Shared with host	LPDDR5		Air-cooled	GPU and both DLAs are used in resnet50 and Retinanet, in Offline scenario	Jetpack 6.0, CUDA 12.2	Jetson r36.3.1 L4T	Jetpack 6.0, CUDA 12.2												130W	Dell USB-C 130.0W Adapter (HA130PM170)	eMMC 5.1	eMMC 5.1
